season,circuit,driver,grid_position,finishing_position
2021,Zandvoort,Nikita Mazepin,18,20
2021,Monza,Daniel Ricciardo,2,1
2021,Monza,Lando Norris,3,2
2021,Monza,Valtteri Bottas,19,3
2021,Monza,Charles Leclerc,5,4
2021,Monza,Sergio Perez,8,5
2021,Monza,Carlos Sainz,6,6
2021,Monza,Lance Stroll,9,7
2021,Monza,Fernando Alonso,10,8
2021,Monza,George Russell,14,9
2021,Monza,Esteban Ocon,12,10
2021,Monza,Nicholas Latifi,13,11
2021,Monza,Sebastian Vettel,11,12
2021,Monza,Antonio Giovinazzi,7,13
2021,Monza,Robert Kubica,17,14
2021,Monza,Mick Schumacher,18,15
2021,Monza,Nikita Mazepin,16,16
2021,Monza,Lewis Hamilton,4,17
2021,Monza,Max Verstappen,1,18
2021,Monza,Pierre Gasly,0,19
2021,Monza,Yuki Tsunoda,0,20
2021,Sochi,Lewis Hamilton,4,1
2021,Sochi,Max Verstappen,20,2
2021,Sochi,Carlos Sainz,2,3
2021,Sochi,Daniel Ricciardo,5,4
2021,Sochi,Valtteri Bottas,16,5
2021,Sochi,Fernando Alonso,6,6
2021,Sochi,Lando Norris,1,7
2021,Sochi,Kimi Räikkönen,13,8
2021,Sochi,Sergio Perez,8,9
2021,Sochi,George Russell,3,10
2021,Sochi,Lance Stroll,7,11
2021,Sochi,Sebastian Vettel,10,12
2021,Sochi,Pierre Gasly,11,13
2021,Sochi,Esteban Ocon,9,14
2021,Sochi,Charles Leclerc,19,15
2021,Sochi,Antonio Giovinazzi,17,16
2021,Sochi,Yuki Tsunoda,12,17
2021,Sochi,Nikita Mazepin,15,18
2021,Sochi,Nicholas Latifi,18,19
2021,Sochi,Mick Schumacher,14,20
2021,Istanbul,Valtteri Bottas,1,1
2021,Istanbul,Max Verstappen,2,2
2021,Istanbul,Sergio Perez,6,3
2021,Istanbul,Charles Leclerc,3,4
2021,Istanbul,Lewis Hamilton,11,5
2021,Istanbul,Pierre Gasly,4,6
2021,Istanbul,Lando Norris,7,7
2021,Istanbul,Carlos Sainz,19,8
2021,Istanbul,Lance Stroll,8,9
2021,Istanbul,Esteban Ocon,12,10
2021,Istanbul,Antonio Giovinazzi,16,11
2021,Istanbul,Kimi Räikkönen,17,12
2021,Istanbul,Daniel Ricciardo,20,13
2021,Istanbul,Yuki Tsunoda,9,14
2021,Istanbul,George Russell,13,15
2021,Istanbul,Fernando Alonso,5,16
2021,Istanbul,Nicholas Latifi,15,17
2021,Istanbul,Sebastian Vettel,10,18
2021,Istanbul,Mick Schumacher,14,19
2021,Istanbul,Nikita Mazepin,18,20
2021,Austin,Max Verstappen,1,1
2021,Austin,Lewis Hamilton,2,2
2021,Austin,Sergio Perez,3,3
2021,Austin,Charles Leclerc,4,4
2021,Austin,Daniel Ricciardo,6,5
2021,Austin,Valtteri Bottas,9,6
2021,Austin,Carlos Sainz,5,7
2021,Austin,Lando Norris,7,8
2021,Austin,Yuki Tsunoda,10,9
2021,Austin,Sebastian Vettel,18,10
2021,Austin,Antonio Giovinazzi,12,11
2021,Austin,Lance Stroll,13,12
2021,Austin,Kimi Räikkönen,15,13
2021,Austin,George Russell,20,14
2021,Austin,Nicholas Latifi,14,15
2021,Austin,Mick Schumacher,16,16
2021,Austin,Nikita Mazepin,17,17
2021,Austin,Fernando Alonso,19,18
2021,Austin,Esteban Ocon,11,19
2021,Austin,Pierre Gasly,8,20
2021,Mexico City,Max Verstappen,3,1
2021,Mexico City,Lewis Hamilton,2,2
2021,Mexico City,Sergio Perez,4,3
2021,Mexico City,Pierre Gasly,5,4
2021,Mexico City,Charles Leclerc,8,5
2021,Mexico City,Carlos Sainz,6,6
2021,Mexico City,Sebastian Vettel,9,7
2021,Mexico City,Kimi Räikkönen,10,8
2021,Mexico City,Fernando Alonso,12,9
2021,Mexico City,Lando Norris,18,10
2021,Mexico City,Antonio Giovinazzi,11,11
2021,Mexico City,Daniel Ricciardo,7,12
2021,Mexico City,Esteban Ocon,19,13
2021,Mexico City,Lance Stroll,20,14
2021,Mexico City,Valtteri Bottas,1,15
2021,Mexico City,George Russell,16,16
2021,Mexico City,Nicholas Latifi,13,17
2021,Mexico City,Nikita Mazepin,15,18
2021,Mexico City,Mick Schumacher,14,19
2021,Mexico City,Yuki Tsunoda,17,20
2021,São Paulo,Lewis Hamilton,10,1
2021,São Paulo,Max Verstappen,2,2
2021,São Paulo,Valtteri Bottas,1,3
2021,São Paulo,Sergio Perez,4,4
2021,São Paulo,Charles Leclerc,6,5
2021,São Paulo,Carlos Sainz,3,6
2021,São Paulo,Pierre Gasly,7,7
2021,São Paulo,Esteban Ocon,8,8
2021,São Paulo,Fernando Alonso,12,9
2021,São Paulo,Lando Norris,5,10
2021,São Paulo,Sebastian Vettel,9,11
2021,São Paulo,Kimi Räikkönen,0,12
2021,São Paulo,George Russell,17,13
2021,São Paulo,Antonio Giovinazzi,13,14
2021,São Paulo,Yuki Tsunoda,15,15
2021,São Paulo,Nicholas Latifi,16,16
2021,São Paulo,Nikita Mazepin,19,17
2021,São Paulo,Mick Schumacher,18,18
2021,São Paulo,Daniel Ricciardo,11,19
2021,São Paulo,Lance Stroll,14,20
2021,Lusail,Lewis Hamilton,1,1
2021,Lusail,Max Verstappen,7,2
2021,Lusail,Fernando Alonso,3,3
2021,Lusail,Sergio Perez,11,4
2021,Lusail,Esteban Ocon,9,5
2021,Lusail,Lance Stroll,12,6
2021,Lusail,Carlos Sainz,5,7
2021,Lusail,Charles Leclerc,13,8
2021,Lusail,Lando Norris,4,9
2021,Lusail,Sebastian Vettel,10,10
2021,Lusail,Pierre Gasly,2,11
2021,Lusail,Daniel Ricciardo,14,12
2021,Lusail,Yuki Tsunoda,8,13
2021,Lusail,Kimi Räikkönen,16,14
2021,Lusail,Antonio Giovinazzi,18,15
2021,Lusail,Mick Schumacher,19,16
2021,Lusail,George Russell,15,17
2021,Lusail,Nikita Mazepin,20,18
2021,Lusail,Nicholas Latifi,17,19
2021,Lusail,Valtteri Bottas,6,20
2021,Jeddah,Lewis Hamilton,1,1
2021,Jeddah,Max Verstappen,3,2
2021,Jeddah,Valtteri Bottas,2,3
2021,Jeddah,Esteban Ocon,9,4
2021,Jeddah,Daniel Ricciardo,11,5
2021,Jeddah,Pierre Gasly,6,6
2021,Jeddah,Charles Leclerc,4,7
2021,Jeddah,Carlos Sainz,15,8
2021,Jeddah,Antonio Giovinazzi,10,9
2021,Jeddah,Lando Norris,7,10
2021,Jeddah,Lance Stroll,18,11
2021,Jeddah,Nicholas Latifi,16,12
2021,Jeddah,Fernando Alonso,13,13
2021,Jeddah,Yuki Tsunoda,8,14
2021,Jeddah,Kimi Räikkönen,12,15
2021,Jeddah,Sebastian Vettel,17,16
2021,Jeddah,Sergio Perez,5,17
2021,Jeddah,Nikita Mazepin,20,18
2021,Jeddah,George Russell,14,19
2021,Jeddah,Mick Schumacher,19,20
2021,Yas Island,Max Verstappen,1,1
2021,Yas Island,Lewis Hamilton,2,2
2021,Yas Island,Carlos Sainz,5,3
2021,Yas Island,Yuki Tsunoda,8,4
2021,Yas Island,Pierre Gasly,12,5
2021,Yas Island,Valtteri Bottas,6,6
2021,Yas Island,Lando Norris,3,7
2021,Yas Island,Fernando Alonso,11,8
2021,Yas Island,Esteban Ocon,9,9
2021,Yas Island,Charles Leclerc,7,10
2021,Yas Island,Sebastian Vettel,15,11
2021,Yas Island,Daniel Ricciardo,10,12
2021,Yas Island,Lance Stroll,13,13
2021,Yas Island,Mick Schumacher,19,14
2021,Yas Island,Sergio Perez,4,15
2021,Yas Island,Nicholas Latifi,16,16
2021,Yas Island,Antonio Giovinazzi,14,17
2021,Yas Island,George Russell,17,18
2021,Yas Island,Kimi Räikkönen,18,19
2022,Sakhir,Charles Leclerc,1,1
2022,Sakhir,Carlos Sainz,3,2
2022,Sakhir,Lewis Hamilton,5,3
2022,Sakhir,George Russell,9,4
2022,Sakhir,Kevin Magnussen,7,5
2022,Sakhir,Valtteri Bottas,6,6
2022,Sakhir,Esteban Ocon,11,7
2022,Sakhir,Yuki Tsunoda,16,8
2022,Sakhir,Fernando Alonso,8,9
2022,Sakhir,Guanyu Zhou,15,10
2022,Sakhir,Mick Schumacher,12,11
2022,Sakhir,Lance Stroll,19,12
2022,Sakhir,Alexander Albon,14,13
2022,Sakhir,Daniel Ricciardo,18,14
2022,Sakhir,Lando Norris,13,15
2022,Sakhir,Nicholas Latifi,20,16
2022,Sakhir,Nico Hulkenberg,17,17
2022,Sakhir,Sergio Perez,4,18
2022,Sakhir,Max Verstappen,2,19
2022,Sakhir,Pierre Gasly,10,20
2022,Jeddah,Max Verstappen,4,1
2022,Jeddah,Charles Leclerc,2,2
2022,Jeddah,Carlos Sainz,3,3
2022,Jeddah,Sergio Perez,1,4
2022,Jeddah,George Russell,6,5
2022,Jeddah,Esteban Ocon,5,6
2022,Jeddah,Lando Norris,11,7
2022,Jeddah,Pierre Gasly,9,8
2022,Jeddah,Kevin Magnussen,10,9
2022,Jeddah,Lewis Hamilton,15,10
2022,Jeddah,Guanyu Zhou,12,11
2022,Jeddah,Nico Hulkenberg,17,12
2022,Jeddah,Lance Stroll,13,13
2022,Jeddah,Alexander Albon,16,14
2022,Jeddah,Valtteri Bottas,8,15
2022,Jeddah,Fernando Alonso,7,16
2022,Jeddah,Daniel Ricciardo,14,17
2022,Jeddah,Nicholas Latifi,18,18
2022,Jeddah,Yuki Tsunoda,19,19
2022,Melbourne,Charles Leclerc,1,1
2022,Melbourne,Sergio Perez,3,2
2022,Melbourne,George Russell,6,3
2022,Melbourne,Lewis Hamilton,5,4
2022,Melbourne,Lando Norris,4,5
2022,Melbourne,Daniel Ricciardo,7,6
2022,Melbourne,Esteban Ocon,8,7
2022,Melbourne,Valtteri Bottas,12,8
2022,Melbourne,Pierre Gasly,11,9
2022,Melbourne,Alexander Albon,20,10
2022,Melbourne,Guanyu Zhou,14,11
2022,Melbourne,Lance Stroll,19,12
2022,Melbourne,Mick Schumacher,15,13
2022,Melbourne,Kevin Magnussen,16,14
2022,Melbourne,Yuki Tsunoda,13,15
2022,Melbourne,Nicholas Latifi,18,16
2022,Melbourne,Fernando Alonso,10,17
2022,Melbourne,Max Verstappen,2,18
2022,Melbourne,Sebastian Vettel,17,19
2022,Melbourne,Carlos Sainz,9,20
2022,Imola,Max Verstappen,1,1
2022,Imola,Sergio Perez,3,2
2022,Imola,Lando Norris,5,3
2022,Imola,George Russell,11,4
2022,Imola,Valtteri Bottas,7,5
2022,Imola,Charles Leclerc,2,6
2022,Imola,Yuki Tsunoda,12,7
2022,Imola,Sebastian Vettel,13,8
2022,Imola,Kevin Magnussen,8,9
2022,Imola,Lance Stroll,15,10
2022,Imola,Alexander Albon,18,11
2022,Imola,Pierre Gasly,17,12
2022,Imola,Lewis Hamilton,14,13
2022,Imola,Esteban Ocon,16,14
2022,Imola,Guanyu Zhou,0,15
2022,Imola,Nicholas Latifi,19,16
2022,Imola,Mick Schumacher,10,17
2022,Imola,Daniel Ricciardo,6,18
2022,Imola,Fernando Alonso,9,19
2022,Imola,Carlos Sainz,4,20
2022,Miami,Max Verstappen,3,1
2022,Miami,Charles Leclerc,1,2
2022,Miami,Carlos Sainz,2,3
2022,Miami,Sergio Perez,4,4
2022,Miami,George Russell,12,5
2022,Miami,Lewis Hamilton,6,6
2022,Miami,Valtteri Bottas,5,7
2022,Miami,Esteban Ocon,20,8
2022,Miami,Alexander Albon,18,9
2022,Miami,Lance Stroll,0,10
2022,Miami,Fernando Alonso,11,11
2022,Miami,Yuki Tsunoda,9,12
2022,Miami,Daniel Ricciardo,14,13
2022,Miami,Nicholas Latifi,19,14
2022,Miami,Mick Schumacher,15,15
2022,Miami,Kevin Magnussen,16,16
2022,Miami,Sebastian Vettel,0,17
2022,Miami,Pierre Gasly,7,18
2022,Miami,Lando Norris,8,19
2022,Miami,Guanyu Zhou,17,20
2022,Barcelona,Max Verstappen,2,1
2022,Barcelona,Sergio Perez,5,2
2022,Barcelona,George Russell,4,3
2022,Barcelona,Carlos Sainz,3,4
2022,Barcelona,Lewis Hamilton,6,5
2022,Barcelona,Valtteri Bottas,7,6
2022,Barcelona,Esteban Ocon,12,7
2022,Barcelona,Lando Norris,11,8
2022,Barcelona,Fernando Alonso,20,9
2022,Barcelona,Yuki Tsunoda,13,10
2022,Barcelona,Sebastian Vettel,16,11
2022,Barcelona,Daniel Ricciardo,9,12
2022,Barcelona,Pierre Gasly,14,13
2022,Barcelona,Mick Schumacher,10,14
2022,Barcelona,Lance Stroll,17,15
2022,Barcelona,Nicholas Latifi,19,16
2022,Barcelona,Kevin Magnussen,8,17
2022,Barcelona,Alexander Albon,18,18
2022,Barcelona,Guanyu Zhou,15,19
2022,Barcelona,Charles Leclerc,1,20
2022,Monaco,Sergio Perez,3,1
2022,Monaco,Carlos Sainz,2,2
2022,Monaco,Max Verstappen,4,3
2022,Monaco,Charles Leclerc,1,4
2022,Monaco,George Russell,6,5
2022,Monaco,Lando Norris,5,6
2022,Monaco,Fernando Alonso,7,7
2022,Monaco,Lewis Hamilton,8,8
2022,Monaco,Valtteri Bottas,12,9
2022,Monaco,Sebastian Vettel,9,10
2022,Monaco,Pierre Gasly,17,11
2022,Monaco,Esteban Ocon,10,12
2022,Monaco,Daniel Ricciardo,14,13
2022,Monaco,Lance Stroll,18,14
2022,Monaco,Nicholas Latifi,19,15
2022,Monaco,Guanyu Zhou,20,16
2022,Monaco,Yuki Tsunoda,11,17
2022,Monaco,Alexander Albon,16,18
2022,Monaco,Mick Schumacher,15,19
2022,Monaco,Kevin Magnussen,13,20
2022,Baku,Max Verstappen,3,1
2022,Baku,Sergio Perez,2,2
2022,Baku,George Russell,5,3
2022,Baku,Lewis Hamilton,7,4
2022,Baku,Pierre Gasly,6,5
2022,Baku,Sebastian Vettel,9,6
2022,Baku,Fernando Alonso,10,7
2022,Baku,Daniel Ricciardo,12,8
2022,Baku,Lando Norris,11,9
2022,Baku,Esteban Ocon,13,10
2022,Baku,Valtteri Bottas,15,11
2022,Baku,Alexander Albon,17,12
2022,Baku,Yuki Tsunoda,8,13
2022,Baku,Mick Schumacher,20,14
2022,Baku,Nicholas Latifi,18,15
2022,Baku,Lance Stroll,19,16
2022,Baku,Kevin Magnussen,16,17
2022,Baku,Guanyu Zhou,14,18
2022,Baku,Charles Leclerc,1,19
2022,Baku,Carlos Sainz,4,20
2022,Montréal,Max Verstappen,1,1
2022,Montréal,Carlos Sainz,3,2
2022,Montréal,Lewis Hamilton,4,3
2022,Montréal,George Russell,8,4
2022,Montréal,Charles Leclerc,19,5
2022,Montréal,Esteban Ocon,7,6
2022,Montréal,Valtteri Bottas,11,7
2022,Montréal,Guanyu Zhou,10,8
2022,Montréal,Fernando Alonso,2,9
2022,Montréal,Lance Stroll,17,10
2022,Montréal,Daniel Ricciardo,9,11
2022,Montréal,Sebastian Vettel,16,12
2022,Montréal,Alexander Albon,12,13
2022,Montréal,Pierre Gasly,15,14
2022,Montréal,Lando Norris,14,15
2022,Montréal,Nicholas Latifi,18,16
2022,Montréal,Kevin Magnussen,5,17
2022,Montréal,Yuki Tsunoda,20,18
2022,Montréal,Mick Schumacher,6,19
2022,Montréal,Sergio Perez,13,20
2022,Silverstone,Carlos Sainz,1,1
2022,Silverstone,Sergio Perez,4,2
2022,Silverstone,Lewis Hamilton,5,3
2022,Silverstone,Charles Leclerc,3,4
2022,Silverstone,Fernando Alonso,7,5
2022,Silverstone,Lando Norris,6,6
2022,Silverstone,Max Verstappen,2,7
2022,Silverstone,Mick Schumacher,19,8
2022,Silverstone,Sebastian Vettel,18,9
2022,Silverstone,Kevin Magnussen,17,10
2022,Silverstone,Lance Stroll,20,11
2022,Silverstone,Nicholas Latifi,10,12
2022,Silverstone,Daniel Ricciardo,14,13
2022,Silverstone,Yuki Tsunoda,13,14
2022,Silverstone,Esteban Ocon,15,15
2022,Silverstone,Pierre Gasly,11,16
2022,Silverstone,Valtteri Bottas,12,17
2022,Silverstone,George Russell,8,18
2022,Silverstone,Guanyu Zhou,9,19
2022,Silverstone,Alexander Albon,16,20
2022,Spielberg,Charles Leclerc,2,1
2022,Spielberg,Max Verstappen,1,2
2022,Spielberg,Lewis Hamilton,8,3
2022,Spielberg,George Russell,4,4
2022,Spielberg,Esteban Ocon,6,5
2022,Spielberg,Mick Schumacher,9,6
2022,Spielberg,Lando Norris,10,7
2022,Spielberg,Kevin Magnussen,7,8
2022,Spielberg,Daniel Ricciardo,11,9
2022,Spielberg,Fernando Alonso,19,10
2022,Spielberg,Valtteri Bottas,0,11
2022,Spielberg,Alexander Albon,15,12
2022,Spielberg,Lance Stroll,12,13
2022,Spielberg,Guanyu Zhou,13,14
2022,Spielberg,Pierre Gasly,14,15
2022,Spielberg,Yuki Tsunoda,16,16
2022,Spielberg,Sebastian Vettel,18,17
2022,Spielberg,Carlos Sainz,3,18
2022,Spielberg,Nicholas Latifi,17,19
2022,Spielberg,Sergio Perez,5,20
2022,Le Castellet,Max Verstappen,2,1
2022,Le Castellet,Lewis Hamilton,4,2
2022,Le Castellet,George Russell,6,3
2022,Le Castellet,Sergio Perez,3,4
2022,Le Castellet,Carlos Sainz,19,5
2022,Le Castellet,Fernando Alonso,7,6
2022,Le Castellet,Lando Norris,5,7
2022,Le Castellet,Esteban Ocon,10,8
2022,Le Castellet,Daniel Ricciardo,9,9
2022,Le Castellet,Lance Stroll,15,10
2022,Le Castellet,Sebastian Vettel,12,11
2022,Le Castellet,Pierre Gasly,14,12
2022,Le Castellet,Alexander Albon,13,13
2022,Le Castellet,Valtteri Bottas,11,14
2022,Le Castellet,Mick Schumacher,17,15
2022,Le Castellet,Guanyu Zhou,16,16
2022,Le Castellet,Nicholas Latifi,18,17
2022,Le Castellet,Kevin Magnussen,20,18
2022,Le Castellet,Charles Leclerc,1,19
2022,Le Castellet,Yuki Tsunoda,8,20
2022,Budapest,Max Verstappen,10,1
2022,Budapest,Lewis Hamilton,7,2
2022,Budapest,George Russell,1,3
2022,Budapest,Carlos Sainz,2,4
2022,Budapest,Sergio Perez,11,5
2022,Budapest,Charles Leclerc,3,6
2022,Budapest,Lando Norris,4,7
2022,Budapest,Fernando Alonso,6,8
2022,Budapest,Esteban Ocon,5,9
2022,Budapest,Sebastian Vettel,18,10
2022,Budapest,Lance Stroll,14,11
2022,Budapest,Pierre Gasly,0,12
2022,Budapest,Guanyu Zhou,12,13
2022,Budapest,Mick Schumacher,15,14
2022,Budapest,Daniel Ricciardo,9,15
2022,Budapest,Kevin Magnussen,13,16
2022,Budapest,Alexander Albon,17,17
2022,Budapest,Nicholas Latifi,19,18
2022,Budapest,Yuki Tsunoda,16,19
2022,Budapest,Valtteri Bottas,8,20
2022,Spa-Francorchamps,Max Verstappen,14,1
2022,Spa-Francorchamps,Sergio Perez,2,2
2022,Spa-Francorchamps,Carlos Sainz,1,3
2022,Spa-Francorchamps,George Russell,5,4
2022,Spa-Francorchamps,Fernando Alonso,3,5
2022,Spa-Francorchamps,Charles Leclerc,15,6
2022,Spa-Francorchamps,Esteban Ocon,16,7
2022,Spa-Francorchamps,Sebastian Vettel,10,8
2022,Spa-Francorchamps,Pierre Gasly,0,9
2022,Spa-Francorchamps,Alexander Albon,6,10
2022,Spa-Francorchamps,Lance Stroll,9,11
2022,Spa-Francorchamps,Lando Norris,17,12
2022,Spa-Francorchamps,Yuki Tsunoda,0,13
2022,Spa-Francorchamps,Guanyu Zhou,18,14
2022,Spa-Francorchamps,Daniel Ricciardo,7,15
2022,Spa-Francorchamps,Kevin Magnussen,12,16
2022,Spa-Francorchamps,Mick Schumacher,19,17
2022,Spa-Francorchamps,Nicholas Latifi,11,18
2022,Spa-Francorchamps,Valtteri Bottas,13,19
2022,Spa-Francorchamps,Lewis Hamilton,4,20
2022,Zandvoort,Max Verstappen,1,1
2022,Zandvoort,George Russell,6,2
2022,Zandvoort,Charles Leclerc,2,3
2022,Zandvoort,Lewis Hamilton,4,4
2022,Zandvoort,Sergio Perez,5,5
2022,Zandvoort,Fernando Alonso,13,6
2022,Zandvoort,Lando Norris,7,7
2022,Zandvoort,Carlos Sainz,3,8
2022,Zandvoort,Esteban Ocon,12,9
2022,Zandvoort,Lance Stroll,10,10
2022,Zandvoort,Pierre Gasly,11,11
2022,Zandvoort,Alexander Albon,15,12
2022,Zandvoort,Mick Schumacher,8,13
2022,Zandvoort,Sebastian Vettel,19,14
2022,Zandvoort,Kevin Magnussen,18,15
2022,Zandvoort,Guanyu Zhou,14,16
2022,Zandvoort,Daniel Ricciardo,17,17
2022,Zandvoort,Nicholas Latifi,20,18
2022,Zandvoort,Valtteri Bottas,16,19
2022,Zandvoort,Yuki Tsunoda,9,20
2022,Monza,Max Verstappen,7,1
2022,Monza,Charles Leclerc,1,2
2022,Monza,George Russell,2,3
2022,Monza,Carlos Sainz,18,4
2022,Monza,Lewis Hamilton,19,5
2022,Monza,Sergio Perez,13,6
2022,Monza,Lando Norris,3,7
2022,Monza,Pierre Gasly,5,8
2022,Monza,Nyck De Vries,8,9
2022,Monza,Guanyu Zhou,9,10
2022,Monza,Esteban Ocon,14,11
2022,Monza,Mick Schumacher,17,12
2022,Monza,Valtteri Bottas,15,13
2022,Monza,Yuki Tsunoda,20,14
2022,Monza,Nicholas Latifi,10,15
2022,Monza,Kevin Magnussen,16,16
2022,Monza,Daniel Ricciardo,4,17
2022,Monza,Lance Stroll,12,18
2022,Monza,Fernando Alonso,6,19
2022,Monza,Sebastian Vettel,11,20
